TARBP1
SMG6
P2RX5
SRRT
PSMA3
HPN
MRPL27
PDE1A
ABCB6
TPO
ATF2
EPCAM
ACKR2
IQSEC1
PMP2
SLC15A2
CANT1
MRGPRF
AATK
MRPL42
STKLD1
AP1G2
SPON1
MRE11
ADCK1
ATP1B3
RUNX1T1
HSP90AA1
NDUFB2
SNRPD3
CDKN3
TUBB1
AMPD1
GHSR
NT5C3A
TAS2R5
DMGDH
GSTT2B
TPMT
AOX1
POLR2K
MITD1
HTR6
ISLR2
LINGO2
PARP10
CPN2
SULT1C2
CD3E
NADK
TNK2
CYP2W1
SLC1A1
MVK
GMDS
CRBN
RAB9A
TAS2R3
RIDA
HCRTR2
ACVRL1
QDPR
CCNB2
KCNT2
PDCL2
ARPC2
MLST8
RAB33B
FKRP
UPP1
RPL23A
CISD3
KLHL20
DNAJA1
SH3GL2
PRPF4B
NPRL2
NCOA3
PLCG1
ITPA
EIF2S2
ASL
LRRC17
TERF2
CRP
MRPL50
TGS1
GPR87
DLAT
PDE6D
SLC6A1
KLHL10
BDH2
ADORA2B
MIEF2
CMKLR2
NPY4R
TAS2R13
ARPC1A
RAPGEF3
SLC15A1
ESR1
PDE6C
MTAP
MCAT
IL4I1
POLD2
EIF4H
DNM1
NDUFC1
CHRNB4
ACAT2
STK35
KDM4B
DUT
STT3A
MAP2K5
PARN
DOK2
PANK1
MAGOH
SLC2A2
FARSA
FES
H2BC12
RPS28
CALCR
GABRA1
TNPO3
KIF3C
RNF31
CACNA1I
LACTB
WASL
IL17A
HMGCR
STK16
GBP1
TNFSF9
MORC4
ETS1
ACVR1B
UBA3
PTGES2
FCGR1A
ADAMTS1
AIFM1
TAOK1
ETNPPL
IFNW1
PYCR1
CLCN1
TAT
CSNK1E
SCO2
ENPP4
TBXA2R
PTBP1
B4GALT1
AIMP2
HSPA8
PRMT8
TPSG1
FLT3
NQO2
PSMB2
CYP2E1
GALNT2
BMP6
WNT3A
SV2A
LSS
SGMS2
COMTD1
PDE12
SLC47A2
TPCN1
MRPL12
GRIN2B
OTC
PSMA4
CUL1
ARHGAP15
P2RX7
RGS17
ARFGAP1
TRIB3
SLC1A2
KYNU
MBD2
RPS15A
TRIM65
KCNJ15
XDH
RYK
INPPL1
KIF5B
P2RY6
KLHL38
GPR35
RIPK4
SYN3
BCL9L
MYT1
NME2
NFS1
HP
ABCC8
SLC18A1
CDK13
LXN
NLK
ALKBH1
BLVRA
PPIF
VAT1
CD81
CCDC88A
TREM1
CAPNS1
IDO1
DOCK2
TTC5
FKBP10
GPR61
KCNK5
BCL2L1
MANEA
DCTPP1
PCBP2
AVPR1B
RPL10A
AGER
MRPL53
ATP6V0A1
STYK1
ITCH
SENP1
YJU2
CXCL12
PPARD
SLC5A9
VPS4B
EXOSC8
RPS10
GRIA3
RAMP2
HMGCS2
MRPL44
PAPSS1
BUB1B
DHRS1
IGFBP6
PPP1CA
EIF1
CAMK1D
TREX2
PTP4A2
MDM4
GSTT1
ACACB
NDC80
FLT1
CILK1
TACR1
ABCG2
NAA60
PACSIN1
MGME1
UQCR11
TPST2
HTR2B
TIMM29
IKZF3
COX6C
MCM7
SNUPN
CDK3
PSMD7
HIPK3
CCNT1
CACNG6
SRSF1
CLCA2
NR1I2
POLR3A
GRIA1
OPN1MW2
MACROD2
PHF8
RCE1
H2AC20
NEK5
MPEG1
LIPJ
HLA-DRA
CNN2
NOTCH3
DCT
TAB1
BRS3
ACOD1
NME4
PPP2CB
LHPP
C9
POMC
MRPL19
SORD
TPM1
METTL14
FAU
CYP2S1
KBTBD2
BPTF
GPR22
KLHL15
SHMT1
CLCNKB
CHRNG
ATG9A
SLC22A16
MATK
LTF
ALOX5
TMPRSS11E
PRTFDC1
CRYBB1
CA2
GCDH
PITRM1
KMT5B
GABRG2
MECR
GALNT12
IDE
ATP8A1
UPF3B
RBSN
AMPD3
SLCO2B1
MRPS5
RPL32
FZD7
CHRM1
GRIK1
MAP3K15
ZDHHC17
ALKBH2
FLNA
TRIM33
FNTB
PSMB3
DVL2
PLAUR
BAK1
RFC1
PFKP
GBA2
CHFR
FDFT1
SQLE
FKBP14
MRPL51
DHDDS
ALDH6A1
TRAF2
MTRES1
SLC34A1
NR1I3
MRPL24
AQP10
CDY1
RAB1B
CHUK
PRKDC
TAS2R38
CACNA1G
GNAS
MRPS33
RBX1
SLC10A1
HNF4A
PAK5
RPE65
SYF2
EMC6
KIF1A
NGF
MRPL15
HUNK
DCLRE1C
AQP5
NUDT2
KLK7
MOS
IDO2
SLC6A17
MYL4
LIPN
LRIT2
ISY1
CYP2A6
KITLG
DYNC1I2
IRAK3
NCF4
ATG4A
OPN1LW
MAPK10
ITK
F10
TTBK2
CA6
MTTP
RPS3A
CCT5
RACGAP1
SPC24
FABP1
SLC22A11
CDC40
FNTA
PTPN9
RPS21
KCNJ14
ADAT2
HDAC2
L3MBTL3
RACK1
TNF
TUBB8
MYLIP
CYP46A1
PTPN4
ARSA
NTSR1
MAPRE1
GORASP2
MPL
ARFIP2
TBX3
SLIT2
TTBK1
SCN2B
CTSB
PBK
SLCO4C1
SHMT2
LIPK
UGT1A1
DNAAF10
MAP4K3
MRPS24
XBP1
HMOX1
PGRMC1
AURKC
PTPN6
OPRD1
RNF146
MICAL1
CCT7
EIF4E2
CCT6A
SPON2
ULK4
IFNB1
HSD11B2
KCNJ10
ENPP7
RXFP3
CA13
NDUFS3
CASTOR1
SLC12A2
KAT8
CLEC4M
CASC3
PAICS
ACMSD
TSSK3
CASP3
GEM
PRPF18
FTH1
NPR1
NDOR1
FICD
PRMT6
KCNU1
PLA2G4B
STRADA
PRSS2
TP63
XAB2
SERPINA4
PYGB
CRNKL1
TJP1
PTPRZ1
RAB5B
NCBP2
PADI2
CTSD
RAMP3
VPS26A
KRAS
CAB39
GAD2
BARD1
METTL21A
RAB5A
BHMT
CETN2
SUCLG1
TRMT61A
SMPD1
PRKCB
CATSPER2
INSR
OXSR1
RELA
PPP1R3B
DDX10
C1S
GPR132
SLC18A3
ABCB8
UVRAG
TSN
RPAP3
FECH
POLR2E
PICK1
RHOU
S100A7
TUT1
NMT2
DBI
SVOPL
PSMB4
CYP2C19
AGBL2
WEE1
SPINDOC
MMADHC
FEN1
MYO7B
ZNF217
AGXT
P2RY13
HTR3D
NCOR2
SLC22A4
ERO1A
PLA2G10
PIR
EXOSC3
FOLR1
MCM3
NR4A3
XPO5
CCNB1
WDR61
PHIP
CASK
ALDOA
ATP6V0D1
GPR85
MLKL
RAB3B
NLGN1
KYAT1
NAA20
DPP7
CSF1R
GALR2
STK39
CYP21A2
OPN1MW
NME1-NME2
SYT1
SPIN1
C5
NR5A2
NRK
CA1
CDKL2
PADI3
CISD2
SRD5A1
ATM
KDM8
CARNMT1
FPR1
TPSAB1
TLR10
LPL
TOMM5
BACE2
HSD17B11
PRC1
PDCD6
UHRF1
GPIHBP1
CACNG3
HDAC4
POLB
ATP6AP1
PALS1
MARK2
GSK3B
TDRD3
DYRK1B
SOD3
VDR
TAS2R7
CISD1
BECN1
SEM1
LDHA
FPGS
ATIC
MFAP1
DUSP10
EGFR
HDGFL3
ACOT12
TYMS
ALOXE3
CDK10
SULT1C4
MT-ND6
CD247
APOM
BRCA1
ATP12A
APEX1
SLC9A3R1
PMP22
POLM
COQ8B
PANK2
ACKR4
AIPL1
HRH4
SLC9A5
CALHM2
BMP2K
CYP1A1
PARP1
NSD3
SLC6A20
MTHFR
RHOG
ZBTB33
ST8SIA3
QPCTL
NFKBIA
SETD6
CBL
DAO
PRKD3
NDUFA1
ALKBH7
GRPR
MINK1
SMAD4
CTSK
IPMK
CENPJ
IL6R
NR0B1
MLLT3
C1QA
GPR135
MRGPRG
ADARB1
GRM3
SNX1
WNT8A
OAS1
KCNH4
SAMHD1
RASL12
GADD45A
KHDRBS1
KCNC1
ATP1B2
COX4I1
H3-3B
LARS1
DIAPH3
GABRB2
SLC12A9
CHEK1
USP25
TBXT
CDYL2
TK2
RAB31
KCNE3
PLAAT3
USP28
SLC46A1
LIPE
HSD3B7
GPI
KMO
NDUFAF4
SCYL2
CTSV
ARNT
VASH2
SAV1
CACNA2D1
CABP1
S100A12
CXCR1
SELP
ERN1
SULT1A2
MAP3K3
LSM2
ASIC3
DDOST
GSS
MMP15
CSF3
ITGB6
WARS2
PRDX1
TRIM28
BCL2L10
RLBP1
PNMT
RGR
ADK
HTR3A
HDHD2
SDHAF2
RMI2
PARVA
GFPT1
SUCNR1
DHFR
ZMPSTE24
KLHL22
PDHX
TTL
KLHL12
CTSL
GPR84
TPBG
IGFBP1
CYGB
MRPL55
GABRB3
SCN11A
TRIAP1
LRG1
PARP14
GPR149
NIM1K
OXTR
SRPRA
EPHB4
PRSS3
ATP2B3
ERCC2
VIPR2
NNT
KDM5B
PNCK
CSNK1D
MAT1A
DRD3
SLAMF6
NDUFB6
BRD7
ILK
STIM1
AR
AMY1B
ABCA13
CACNB4
DLK1
SF3B3
MYL6B
ABCA4
GANC
UGT1A7
SULT1A3
NISCH
SLC6A13
POLR3B
ATP2A3
ALKBH5
POLE2
GUCY2F
CHKA
GPR31
LDLR
SETDB2
ATP6V1G1
TRPM2
