LILRA3
SPTB
ADGRL1
WNT8B
P2RX5
EPYC
ERGIC2
NKAIN4
SLC25A14
VPS35L
HPN
IQCE
ABCB6
TPO
SLC8A2
EPCAM
SEC16B
OR2B6
NALF2
MGST3
ACKR2
OR13C4
ATP5MJ
SLC15A2
SLC16A5
CANT1
TMCC1
MRGPRF
MARCHF3
SMIM19
FAM210A
GJD4
AATK
RELL1
CREB3L2
SLC25A21
SHC4
SLC39A10
MRPL42
GJC2
AP1G2
SMIM30
GAGE12H
PRAF2
THEGL
SPON1
OPN1MW3
MCF2L2
ACAA1
ADCK1
RASGRP2
ATP1B3
HSP90AA1
NDUFB2
PPM1F
TUBB1
STMN2
ARHGEF18
TFPI2
SEMA5A
FILIP1
CNNM1
GHSR
CANX
TAS2R5
DNAJC14
ARHGEF4
ABI1
NUP54
CXCL9
MARVELD3
CCDC40
CEP112
MITD1
HTR6
PGLYRP2
ZMYND19
DIS3L
ISLR2
DHRS13
TM4SF4
IFFO2
TMEM154
TMEM37
LINGO2
CLEC14A
CPN2
OR2G6
OR6M1
CD3E
IGLV1-36
TRGV9
TRAV12-3
SH3D21
SMIM26
TARM1
OR5M1
CTSO
PKD1L3
TBC1D3E
SMIM38
LAMC2
TNK2
SIDT1
CYP2W1
CTTN
SLCO4A1
TM9SF4
LPIN2
TIMM44
SLC1A1
TXNDC15
CRBN
SLAMF1
LYZL1
RAB9A
PLGLB2
TAS2R3
TM6SF1
HCRTR2
ACVRL1
IFNA16
RNF166
KCNT2
PRSS37
LRP1B
NSG2
ZDHHC16
CBY2
APOLD1
FKRP
SYNE4
IST1
ADI1
SLITRK2
TMPRSS12
LILRA5
RALGAPA2
RPL23A
LIME1
OR10C1
PTPRCAP
CHMP1B
C20orf141
IGHV3-64D
LMLN2
SSH1
CHRD
TIMM50
SH3GL2
CHIC2
UPK2
KLRB1
SRGN
PLCG1
TMEM74B
LRRC17
TEX101
EXOC4
CC2D1A
CRP
GPR87
VPS53
IL19
ECE2
TNFRSF21
ROBO4
PDE6D
SLC6A1
ARSL
SLC45A3
FAM189B
DCST1
IL22RA2
CLDN2
ACER1
PGM2
ADORA2B
PARL
MIEF2
UCN3
OR5AK2
VMO1
CMKLR2
EMID1
CDHR4
CPLANE1
NPY4R
C9orf57
IGKJ1
TRGV4
TAS2R13
OR1J4
SCARF2
OOSP3
RAPGEF3
LAT2
ZW10
SLC15A1
SMPX
ESR1
PDE6C
NCR2
IL4I1
UPK1A
GALNTL5
DNM1
NDUFC1
SH3D19
SLCO1B3
TRAPPC13
CHRNB4
SLC25A35
CSN1S1
RFPL1
DSC2
STT3A
TLN1
PAQR5
SLC27A2
PRSS23
LYZL2
DRAM2
RSPRY1
SHANK2
SLC2A2
PLIN4
LRATD2
KCNAB1
DPY19L3
RPRML
FES
OR7A5
MPZL1
TRAV2
PLXNA4
OR4F3
IGKV1OR2-108
RPS28
RPEL1
CHMP4A
IGHV4-4
CALCR
SYPL1
GABRA1
DERA
GLP2R
CDIP1
CACNA1I
UQCC1
WDR91
WASL
COL12A1
RIPOR2
IL17A
HMGCR
ARMC8
STK16
GBP1
ADGRE5
IL13RA2
SLPI
TNFSF9
ACVR1B
MAP7
UNC13C
FNDC7
TAMM41
UBA3
PTGES2
LCN9
OR8K1
FCGR1A
TMEM267
ADAMTS1
COX6B2
SMIM14
CRELD1
ZNF503
TMEM150A
SLC16A11
CADM2
IFNW1
RPRM
OR56B4
SPNS2
SYNDIG1L
AP3M1
CLCN1
FAM169A
HLA-F
TRAV26-2
IGKV1D-33
KIR2DL3
IGKV2D-40
SCO2
OR8S1
ENPP4
TBXA2R
PROM1
IDS
SLCO1A2
B4GALT1
FXYD5
SH2D3C
GRAP2
CRTAM
HSPA8
MS4A4A
PRMT8
PRSS16
TPSG1
FLT3
UNC5CL
GNGT1
MYO1B
CYP2E1
GYPC
EGF
KIF21A
GALNT2
ADAMTS16
RGS18
BMP6
WNT3A
SV2A
LSS
VANGL2
SGMS2
ARSK
RAET1E
COMTD1
OR51B5
TMEM223
RNF150
NRROS
NECTIN3
PLD5
SLC47A2
DGCR6
TPCN1
OR5D3P
OR8A1
AADACL4
IGHE
IGHV3-73
FANCG
IGKV1D-43
ERVFRD-1
IGKV1D-37
GRIN2B
CCL3L3
OR12D2
TMEM272
LYNX1-SLURP2
ITGA3
RHOBTB2
GRAMD1B
TNFRSF17
CUL1
ARHGAP15
CEACAM6
P2RX7
RGS17
TRIP11
TRIB3
CWH43
SLC1A2
TMEM14C
PCDHB7
ST6GALNAC5
MYOT
AHNAK
TEKT3
USP6
TMEM204
RPS15A
G6PC3
UBXN4
NXPE3
TMEM108
KCNJ15
XDH
ATP13A2
PIP
RYK
INPPL1
EEF2
SLC35G2
SPNS1
KIF5B
P2RY6
TMEM217
DEFB103A
FZD8
DPY19L2
GPR35
RIPK4
SYN3
TRAV17
GSG1L2
HLA-DRB4
NME2
HP
HPR
TRBV12-5
ABCC8
ST7L
SEMA3G
DNASE1L1
NRXN3
AGPAT4
SLC18A1
CDON
CDK13
TMED8
ST8SIA5
TMEM176B
VAT1
GALNT18
CD81
SPCS1
MPV17
CCDC88A
IFNA8
TREM1
CAPNS1
AAMP
APOC1
KREMEN2
VSTM2L
DOCK2
FKBP10
ZNF599
GPR61
KCNE2
KCNK5
AMN
C19orf33
BCL2L1
MANEA
CNIH2
C2orf69
SLC35D3
PKP3
CYP4F8
AVPR1B
GLMP
RPL10A
TMEM235
AGER
DEFB116
DYNLL2
POM121C
ZNF229
ATP6V0A1
STYK1
PANX2
ITCH
FAM234B
DEFB127
FAM189A1
LSR
CXCL12
KAZALD1
