GFRA1
GFRA2
GFRA3
GFRA4
GFRAL




IL22RA2

IL10RA
IL10RB
IL20RA
IL20RB
IL22RA1
IFNLR1


IL12RB1
IL12RB2
IL23R



IL17RA
IL17RB
IL17RC
IL17RD
IL17RE





IL13RA2



IL2RA
IL2RB
IL2RG
IL4R
IL7R
IL9R
IL13RA1
IL15RA
IL21R
CRLF2



IL3RA
IL5RA
CSF2RA
CSF2RB







IL6R
IL6ST
IL11RA
IL27RA
IL31RA
CNTFR
LEPR
LIFR
OSMR
CD40
TNFRSF14





IL1R1
IL1R2
IL1RL1
IL1RL2
IL18R1
SIGIRR
ITGA1
ITGA2
ITGA2B
ITGA3
ITGA4
ITGA5
ITGA6
ITGA7
ITGA8
ITGA9
ITGA10
ITGA11
ITGAD
ITGAE
ITGAL
ITGAM
ITGAV
ITGAX
ITGB1
ITGB2
ITGB3
ITGB4
ITGB5
ITGB6
ITGB7
ITGB8














IFNAR1
IFNAR2
IFNGR1
IFNGR2


GUCY1A1
GUCY1A2
GUCY1B1
GUCY1B2
NOD1
NOD2
NLRC3
NLRC4
NLRC5
NLRX1
CIITA
NLRP1
NLRP2
NLRP3
NLRP4
NLRP5
NLRP6
NLRP7
NLRP8
NLRP9
NLRP10
NLRP11
NLRP12
NLRP13
NLRP14
EPOR
CSF3R
GHR
PRLR
MPL
PTPRA
PTPRB
PTPRC
PTPRD
PTPRE
PTPRF
PTPRG
PTPRH
PTPRJ
PTPRK
PTPRM
PTPRN
PTPRN2
PTPRO
PTPRQ
PTPRR
PTPRS
PTPRT
PTPRU
PTPRZ1
DDX58
IFIH1
DHX58





TLR1
TLR2
TLR3
TLR4
TLR5
TLR6
TLR7
TLR8
TLR9
TLR10

NPR1
NPR2
GUCY2C
NPR3

GUCY2D
GUCY2F
GUCY2GP
TNFRSF1A
TNFRSF1B
LTBR
TNFRSF4
CD40
FAS
TNFRSF6B
CD27
TNFRSF8
TNFRSF9
TNFRSF10A
TNFRSF10B
TNFRSF10C
TNFRSF10D
TNFRSF11A
TNFRSF11B
TNFRSF25
TNFRSF12A
TNFRSF13B
TNFRSF13C
TNFRSF14
NGFR
TNFRSF17
TNFRSF18
TNFRSF19
RELT
TNFRSF21


EDA2R
EDAR
TGFBR3
PDGFRA
PDGFRB
KIT
CSF1R
FLT3
ACVR2A
ACVR2B
AMHR2
BMPR2
TGFBR2
INSR
IGF1R
INSRR
ACVRL1
ACVR1
BMPR1A
ACVR1B
TGFBR1
BMPR1B
ACVR1C
EGFR
ERBB2
ERBB3
ERBB4
FLT1
KDR
FLT4
MUSK
ROR1
ROR2
NTRK1
NTRK2
NTRK3
PTK7
FGFR1
FGFR2
FGFR3
FGFR4
EPHA1
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHA10
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
TIE1
TEK
AXL
TYRO3
MERTK
RET
LTK
ALK
MET
MST1R
AATK
LMTK2
LMTK3
ROS1
DDR1
DDR2
RYK
STYK1
