source	rs	rs_l95	rs_u95	approved	supported
All germline	2.61356848097007	2.289534646353069	2.98346225753809	185	659
OMIM	3.5992676790367506	3.00185810113662	4.3155696868061275	75	186
All GWAS	2.3223012312353593	1.9902724176085473	2.709721021546103	134	523
All OTG	2.3788086860781004	2.0324390011343594	2.784206936494688	127	483
GWAS Catalog	2.4713434058866315	2.1100380688791223	2.894515658223993	124	454
Neale UKBB	3.187442061677276	2.4777980002929985	4.100328959563328	40	110
FinnGen	2.864510079699953	2.083282655945128	3.938696447784738	26	79
PICCOLO	2.3004438430311236	1.7099992340512993	3.094762716590226	33	125
Genebass	3.2020628223159866	1.9536456514103018	5.24824259233327	10	27
