subpanel	label	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
Year	All	2.2263418079096042	1.8702293426785737	2.650262046764427	103	412	103	412	1416	12610	13022
Year	2007-2010	2.605513227513227	1.7839927150426562	3.805340190856145	19	63	19	63	1500	12959	13022
Year	2011-2014	2.03571164373428	1.339992857743373	3.0926447648491724	17	72	17	72	1502	12950	13022
Year	2015-2018	2.029571020819342	1.4785951201610672	2.785859680167858	30	128	30	128	1489	12894	13022
Year	2019-2022	2.156984484960465	1.6246239855913767	2.8637900890442567	37	149	37	149	1482	12873	13022
Gene count	All	2.4550915750915747	2.096141485393663	2.8755094463261615	124	455	124	455	1395	12567	13022
Gene count	1	1.4290733421168202	0.2386415776825647	8.557815603555435	1	6	1	6	1518	13016	13022
Gene count	2-9	1.2707492971519374	0.5137013917607739	3.143467785199504	4	27	4	27	1515	12995	13022
Gene count	10-99	2.50258304489332	1.8435978719213642	3.397119291562437	30	104	30	104	1489	12918	13022
Gene count	100-999	2.3500575904169545	1.917025310197536	2.8809065007635497	72	270	72	270	1447	12752	13022
Gene count	1,000+	3.188743522215615	2.3777766993925904	4.276299474660305	29	79	29	79	1490	12943	13022
Beta	All with beta	2.850482180293501	2.3831312819481885	3.40948428721412	88	275	88	275	1431	12747	13022
Beta	beta 0 - 0.015	3.502435064935065	2.6570298226631395	4.616828640557536	31	77	31	77	1488	12945	13022
Beta	beta 0.015 - 0.024	3.397161673854762	2.5213916581587754	4.577118116879625	27	69	27	69	1492	12953	13022
Beta	beta 0.024 - 0.049	3.226140350877193	2.4870261416199657	4.1849103993650045	37	100	37	100	1482	12922	13022
Beta	beta 0.049+	3.0723496501267196	2.4908476541182356	3.7896064647017984	60	172	60	172	1459	12850	13022
Odds ratio	All with OR	2.2671409326179957	1.8136889807678276	2.833963299581828	60	232	60	232	1459	12790	13022
Odds ratio	OR 1 - 1.053	3.0767219349854402	2.276078087454555	4.1590039978843905	28	79	28	79	1491	12943	13022
Odds ratio	OR 1.053 - 1.1	2.748109061800598	1.9931186268697438	3.789088774616181	26	82	26	82	1493	12940	13022
Odds ratio	OR 1.1 - 1.204	1.9280174985086496	1.3186229508344611	2.81904047870786	21	94	21	94	1498	12928	13022
Odds ratio	OR 1.204+	2.210560656196113	1.5366971631694697	3.179922844813172	22	86	22	86	1497	12936	13022
MAF	All with MAF	2.5367125728497717	2.128787095558308	3.0228061278088743	97	341	97	341	1422	12681	13022
MAF	MAF 1 - 3%	3.3851364153088292	2.130783979089598	5.377902529164858	11	28	11	28	1508	12994	13022
MAF	MAF 3 - 10%	1.6762925537925135	0.8986143331720704	3.1269885446643158	8	41	8	41	1511	12981	13022
MAF	MAF 10 - 30%	2.95765441349154	2.29544087166785	3.810910460651491	41	121	41	121	1478	12901	13022
MAF	MAF 30 - 50%	2.452276169690031	1.9199829347903286	3.132141595355549	48	171	48	171	1471	12851	13022
