topl	area	color	filter	rs_mean	rs_l95	rs_u95	nosup_clinical	nosup_launched	gensup_clinical	gensup_launched	p_s_mean	p_s_l95	p_s_u95	p_g_mean	p_g_l95	p_g_u95	poss_supp_gi	meansim	meanipert	meansim_2000	meanipert_2000	n_launched_ti	n_gensup_ti
C15	hematology	#CAB2D6	only	3.9504851120776183	2.7737596250321457	5.626418554767898	369	49	61	32	0.15851272015655576	0.12941031719190543	0.19271109704030073	0.18199608610567514	0.15095566970000496	0.2177820369632243	27005	0.426311976776698	9.839506172839506	0.4389137906358932	8.493827160493828	82	107
C18	metabolic	#FFB90F	only	3.6996066089693156	2.558906050517656	5.348804837270442	461	41	155	51	0.12994350282485875	0.10715932169629604	0.15672171036931387	0.2909604519774011	0.25870312444591265	0.32547394710259975	19701	0.5898047231271144	4.793478260869565	0.6546341608467809	3.880434782608696	98	289
C08	respiratory	#E31A1C	only	3.0938215102974826	1.7917943626546748	5.34198105378464	676	57	46	12	0.08723135271807839	0.06950844947168443	0.10894406737506412	0.07332490518331226	0.057148437573108855	0.09362560357781805	4598	0.3940264486582172	12.942028985507246	0.43207954525911113	10.115942028985508	75	77
C19	endocrine	#33A02C	only	3.0308139534883725	1.7867912544635989	5.140966074079783	401	43	40	13	0.11267605633802817	0.08779590410324671	0.14349776534149158	0.10663983903420524	0.08245751141921989	0.13685631910777407	4292	0.5331362934264865	8.446428571428571	0.5369291836754118	6.982142857142857	56	82
C01	infection	#EE7600	only	2.7906976744186047	0.8363100325424764	9.31232821197784	420	43	7	2	0.09533898305084745	0.07201704020433135	0.12519456689957026	0.019067796610169493	0.010063421062829522	0.03583728476222636	1318	0.2940033680123022	16.933333333333334	0.33417588851625385	13.6	76	12
C16	congenital	#8B7E66	only	2.5918484500574053	1.880518822957561	3.5722473532595833	430	67	104	42	0.16951788491446346	0.14249909172929529	0.20046200916419132	0.22706065318818042	0.19635651069692162	0.2610066573351109	19611	0.5035028353545958	6.559633027522936	0.5639599298900795	5.4495412844036695	113	187
C10	neurology	#B15928	only	2.5090015360983107	1.8346637329136073	3.431194826174783	1201	155	105	34	0.12642140468227425	0.11052755761016114	0.14423017982334396	0.09297658862876254	0.07928114893515793	0.10875839131244788	12185	0.464283199046151	9.010582010582011	0.49761761658640474	7.164021164021164	222	188
C14	cardiovascular	#B2DF8A	only	2.473544973544974	1.5965573179912618	3.83226124562043	715	91	54	17	0.12314709236031927	0.10302770203434926	0.1465534872014829	0.08095781071835804	0.06467941565290972	0.10089119567589007	5544	0.37575721704911264	10.5	0.38360801773674796	8.203703703703704	126	113
C04	oncology	#66A61E	only	2.3873997260810014	1.5333001357279823	3.717261428001857	6101	538	76	16	0.08230574951715941	0.07597597740361114	0.08911201547920623	0.01366810280790373	0.011158658319125537	0.016732341041323574	11166	0.46927006967372187	14.276173285198556	0.489622874072062	12.673285198555957	614	127
C06	digestive	#FDBF6F	only	2.306851311953353	1.2374909637640197	4.300284310177547	633	49	56	10	0.07887700534759358	0.06164170127116615	0.1004156811613075	0.08823529411764706	0.06995592100797927	0.11072240848155053	5342	0.36104991665148084	14.898305084745763	0.405869644184068	11.322033898305085	69	107
F03	psychiatry	#9959E1	only	2.0345123626373627	1.3175172834555384	3.141697346746001	697	104	56	17	0.13844393592677345	0.11712494258497372	0.16292728820276028	0.08352402745995423	0.06695369410444595	0.10373938186623499	7600	0.3695424716455503	11.702479338842975	0.38712773923191496	8.512396694214877	126	99
C23	signs/symptoms	#7B3F00	only	1.752651880424301	1.0900915793095802	2.8179179366749945	727	102	61	15	0.1292817679558011	0.10897969448486813	0.152717718757388	0.08397790055248619	0.06761897397282814	0.10385368202034456	10494	0.3827859508398364	11.367521367521368	0.41493191042023464	8.264957264957266	212	132
C20	immune	#FF7F00	only	1.672771376591874	1.035467465323297	2.702319649870816	862	97	85	16	0.10660377358490566	0.08942535170651178	0.12662324925277169	0.09528301886792453	0.07904094841156742	0.11444790005733571	8590	0.4022997332476441	11.575221238938052	0.427125371202448	9.389380530973451	139	163
C17	dermatology	#FB9A99	only	1.3605291005291007	0.8129446385221689	2.2769563210989134	989	135	70	13	0.12261806130903065	0.10530192994970297	0.14232872114538456	0.0687655343827672	0.0558147101872795	0.08445258705749124	8517	0.40066056974713066	10.006756756756756	0.450411766182606	8.14864864864865	153	112
C11	ophthalmology	#6A3D9A	only	1.2923976608187133	0.5986540249217371	2.7900784829903076	442	57	36	6	0.11645101663585952	0.09208590437820738	0.14622462929838753	0.07763401109057301	0.057946107791896836	0.10327778110016066	7663	0.36384089704890676	15.53968253968254	0.41753280568119505	11.904761904761905	64	58
C05	musculoskeletal	#A6CEE3	only	1.2682926829268293	0.6574959884241602	2.4465036409135097	468	72	41	8	0.13582342954159593	0.11050413107494446	0.1658622673659045	0.0831918505942275	0.06349823047982751	0.1082870880154099	3167	0.36129377140417324	12.8	0.37696720359061303	9.925	92	70
OTH	other	#BBBBBB	only	0.519047619047619	0.07756235596010713	3.4734688948536947	218	35	12	1	0.13533834586466165	0.09938514482261278	0.18167418220648435	0.04887218045112782	0.028780538895557244	0.08180831928476913	3224	0.3271167224066737	11	0.33187049726977264	8.083333333333334	85	32
