gene	novel	source
ZHX3	FALSE	Established
MACF1	FALSE	Established
FAF1	FALSE	Established
INADL	FALSE	Established
PTGFRN	FALSE	Established
NOTCH2	FALSE	Established
BNIPL	FALSE	Established
ATP8B2	FALSE	Established
SEC16B	FALSE	Established
CNTN2	FALSE	Established
SRGAP2	FALSE	Established
PROX1	FALSE	Established
ABCB10	FALSE	Established
TBCE	FALSE	Established
AC142119.1	FALSE	Established
DTNB	FALSE	Established
GCKR	FALSE	Established
THADA	FALSE	Established
LINC01122	FALSE	Established
AC007381.2	FALSE	Established
CEP68	FALSE	Established
BCL2L11	FALSE	Established
ACVR1C	FALSE	Established
RBMS1	FALSE	Established
COBLL1	FALSE	Established
CRYBA2	FALSE	Established
SPHKAP	FALSE	Established
DGKD	FALSE	Established
PPARG	FALSE	Established
UBE2E2	FALSE	Established
SMARCC1	FALSE	Established
RBM6	FALSE	Established
RFT1	FALSE	Established
CACNA2D3	FALSE	Established
ATXN7	FALSE	Established
ADAMTS9-AS2	FALSE	Established
SHQ1	FALSE	Established
ROBO2	FALSE	Established
CASR	FALSE	Established
ADCY5	FALSE	Established
SLC12A8	FALSE	Established
PLXND1	FALSE	Established
MBNL1	FALSE	Established
EGFEM1P	FALSE	Established
SLC2A2	FALSE	Established
ABCC5	FALSE	Established
IGF2BP2	FALSE	Established
ST6GAL1	FALSE	Established
PCGF3	FALSE	Established
CTBP1	FALSE	Established
HTT	FALSE	Established
WFS1	FALSE	Established
MOB1B	FALSE	Established
SCD5	FALSE	Established
RP11-42A4.1	FALSE	Established
FAM13A	FALSE	Established
RP11-363G15.2	FALSE	Established
SLC9B1	FALSE	Established
ACSL1	FALSE	Established
ANKH	FALSE	Established
PARP8	FALSE	Established
ARL15	FALSE	Established
AC022431.2	FALSE	Established
ANKDD1B	FALSE	Established
ZBED3-AS1	FALSE	Established
JMY	FALSE	Established
CTC-503K11.2	FALSE	Established
JADE2	FALSE	Established
NSD1	FALSE	Established
RREB1	FALSE	Established
CDKAL1	FALSE	Established
POU5F1	FALSE	Established
PPT2-EGFL8	FALSE	Established
KCNK17	FALSE	Established
LRFN2	FALSE	Established
TFAP2B	FALSE	Established
NUS1	FALSE	Established
MED23	FALSE	Established
RPL35AP3	FALSE	Established
SLC22A3	FALSE	Established
RP1-230L10.1	FALSE	Established
JAZF1	FALSE	Established
CRHR2	FALSE	Established
GCK	FALSE	Established
AUTS2	FALSE	Established
DNAJC2	FALSE	Established
CTTNBP2	FALSE	Established
ZNF800	FALSE	Established
BRAF	FALSE	Established
AOC1	FALSE	Established
UBE3C	FALSE	Established
MFHAS1	FALSE	Established
RP11-115J16.2	FALSE	Established
MSRA	FALSE	Established
PURG	FALSE	Established
NKX6-3	FALSE	Established
RP11-347C18.3	FALSE	Established
SLC30A8	FALSE	Established
CASC11	FALSE	Established
RP11-89M16.1	FALSE	Established
HSF1	FALSE	Established
GLIS3	FALSE	Established
HAUS6	FALSE	Established
