threshold	rs	rs_l95	rs_u95	approved	supported
0.1	1.1275778674377739	1.0013088141618849	1.2697699542370766	1241	6683
0.15000000000000002	1.1284170955538722	1.0020487015763446	1.2707218117593897	1241	6682
0.2	1.1400232862231892	1.0234595754278892	1.2698626544069989	1159	6182
0.25	1.3957360951054623	1.2732249417455679	1.5300354111108314	853	4006
0.30000000000000004	1.5261138872010664	1.3933705776260399	1.671503356039017	805	3557
0.35	1.592500074308695	1.4546509406032455	1.7434123994183053	769	3279
0.4	1.5474628657510687	1.4135898695414393	1.6940142062954358	691	2933
0.45000000000000007	1.5841095892877803	1.445319892292224	1.7362268410307975	589	2391
0.5	1.7332838362639784	1.5781881124128028	1.903621522317077	500	1847
0.55	1.7251795023235525	1.5629138097555135	1.9042920323948729	404	1453
0.6	1.8232744305448758	1.6438850375127305	2.022239738922739	337	1132
0.65	1.9282297984726402	1.7348765350581958	2.1431324250362964	309	979
0.7000000000000001	2.0039829792111408	1.797600682335167	2.2340600003283577	279	845
0.75	2.024059638176484	1.8048348188285006	2.2699126679938058	239	707
0.8	2.0813484947574947	1.8373739690058748	2.3577190216606567	189	535
0.85	2.1005366916414263	1.8418930303754981	2.395499803825417	165	459
0.9	2.158606517852506	1.8816527590161203	2.476324112718718	146	393
0.9500000000000001	2.1891173973765645	1.9045465304394842	2.516207875683095	140	371
1	2.1846047382561262	1.8955521737446244	2.5177348998962907	134	355
