years	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
All	2.381245560028416	1.991546504866967	2.8471996025690682	96	328	96	328	927	7542	7870
2007-2010	2.7332038970806876	1.9111010999641131	3.9089525630838353	20	57	20	57	1003	7813	7870
2011-2014	2.266901408450704	1.6591285503217306	3.0973139451064755	29	100	29	100	994	7770	7870
2015-2018	2.5532419202473307	2.048607145900996	3.1821837175331837	58	181	58	181	965	7689	7870
2019-2022	2.7061122956645343	2.2521446983620517	3.2515867040304767	85	255	85	255	938	7615	7870
