years	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
All	2.381245560028416	1.991546504866967	2.8471996025690682	96	328	96	328	927	7542	7870
2007-2010	2.7332038970806876	1.9111010999641131	3.9089525630838353	20	57	20	57	1003	7813	7870
2011-2014	2.1632988951536682	1.4388019216284067	3.252610411081818	17	61	17	61	1006	7809	7870
2015-2018	2.221880301416341	1.6242210307986116	3.039458288133742	29	102	29	102	994	7768	7870
2019-2022	2.1713102830927604	1.5931753938073587	2.959239995665182	30	108	30	108	993	7762	7870
