drug_data	genetic_data	phase	x_yes	n_yes	x_no	n_no	mean_yes	l_yes	u_yes	mean_no	l_no	u_no	rs_mean	rs_l	rs_u	fraction
2013	2013	Preclinical	179	200	6840	8424	0.895	0.8448196800887695	0.9302925120731899	0.811965811965812	0.8034802697197929	0.820166962573477	1.1022631578947368	1.0500063629981957	1.1571206728526897	179/200
2013	2013	I	159	179	5088	6840	0.888268156424581	0.8337241037909872	0.9264973519802236	0.743859649122807	0.7333803862922732	0.754065154355135	1.1941340782122905	1.1316040734593469	1.260119356400624	159/179
2013	2013	II	89	159	2379	5088	0.559748427672956	0.4820807267303315	0.6345971766586392	0.4675707547169811	0.45389063296206233	0.4812998079287602	1.1971416561580497	1.0397745324028114	1.3783258776275091	89/159
2013	2013	III	65	89	1767	2379	0.7303370786516854	0.6300335779919279	0.8115794742026075	0.742749054224464	0.7248024207928192	0.7599129998342953	0.983289139848534	0.864771918967178	1.118049177289216	65/89
2013	2013	I-Launch	65	179	1767	6840	0.36312849162011174	0.29258229356679977	0.4336746896734237	0.2583333333333333	0.24795945570478922	0.2687072109618774	1.4056586772391422	1.1530229355070496	1.713648754115017	65/179
2013	2023	Preclinical	345	403	6674	8221	0.8560794044665012	0.8184441161508772	0.8869903811885115	0.8118233791509549	0.8032295735494918	0.8201259069992028	1.054514351830852	1.0117872095228129	1.0990458346885927	345/403
2013	2023	I	293	345	4954	6674	0.8492753623188406	0.8076877730385161	0.8831704776256486	0.7422834881630207	0.7316529322606696	0.7526352946974955	1.1441388308671663	1.0919936686550873	1.198774042261923	293/345
2013	2023	II	189	293	2279	4954	0.6450511945392492	0.5887082763616303	0.697639864958292	0.46003229713362936	0.44618992896090093	0.4739366012460179	1.4021867563613166	1.2813274806735693	1.5344459003419755	189/293
2013	2023	III	142	189	1690	2279	0.7513227513227513	0.6851043192031679	0.807528336559574	0.741553312856516	0.7231838697447922	0.7591098067371356	1.0131742900973668	0.9301230370436341	1.1036412401708386	142/189
2013	2023	I-Launch	142	345	1690	6674	0.41159420289855075	0.35963269452183533	0.4635557112752662	0.25322145639796223	0.24278798264275378	0.26365493015317065	1.6254317811508447	1.42340335625767	1.8561347797587582	142/345
2023	2013	Preclinical	287	440	10049	18959	0.6522727272727272	0.6066286346936612	0.6952809713986667	0.5300385041405138	0.5229287716684986	0.5371360663186474	1.2306138557432216	1.1479601431532296	1.3192186775643615	287/440
2023	2013	I	230	287	7065	10049	0.8013937282229965	0.7513904001055647	0.8434353881485637	0.7030550303512787	0.6940453554760907	0.711909519741721	1.1398734005538418	1.0745884207580252	1.209124669679236	230/287
2023	2013	II	121	230	2616	7065	0.5260869565217391	0.46165911783809244	0.5896577019444996	0.370276008492569	0.359089564014881	0.3816034461936401	1.4207967690466694	1.2521275020350136	1.6121868225501257	121/230
2023	2013	III	89	121	1727	2616	0.7355371900826446	0.6505842493161597	0.8059948433862679	0.6601681957186545	0.6417946360032568	0.6780720479819721	1.1141663516248976	0.9977876909447965	1.244119034899795	89/121
2023	2013	I-Launch	89	287	1727	10047	0.3101045296167247	0.25653162286639386	0.3636774363670555	0.17185789630809034	0.16448134068077525	0.17923445193540544	1.804064973398514	1.5101718578842318	2.155152349881015	89/287
2023	2023	Preclinical	573	994	9763	18405	0.5764587525150905	0.5455046046357028	0.6068242033691701	0.530453681064928	0.523237945033473	0.5376567072730069	1.0867277824480428	1.0285789733640516	1.148163926861112	573/994
2023	2023	I	455	573	6840	9763	0.794066317626527	0.7590500878362827	0.8251658953369264	0.7006043224418724	0.6914420604454329	0.709608782502617	1.1334019676882723	1.0849748743042102	1.1839905704576394	455/573
2023	2023	II	252	455	2485	6840	0.5538461538461539	0.5079096383039038	0.5988810604397078	0.36330409356725146	0.35198595732390897	0.3747756850589888	1.5244698963008823	1.3957222966180853	1.6650937441916833	252/455
2023	2023	III	189	252	1627	2485	0.75	0.6930541212394825	0.799438380096303	0.654728370221328	0.6358087286836367	0.6731703737315011	1.1455132145052243	1.0608431926450697	1.2369410801744378	189/252
2023	2023	I-Launch	189	572	1627	9762	0.3298429319371728	0.2913268794475027	0.3683589844268429	0.16664959541124658	0.15925687731180752	0.17404231351068564	1.9825174825174825	1.7499024521154354	2.2460540950360257	189/572
2023	OTG through 2013	Preclinical	133	211	10203	19188	0.6303317535545023	0.5634117688715704	0.6925909612434898	0.5317385866166354	0.5246725830224649	0.5387918845542095	1.1854166115067912	1.068135092966762	1.3155756721120762	133/211
2023	OTG through 2013	I	91	133	7204	10203	0.6842105263157895	0.600986559418195	0.7570920552230418	0.706066843085367	0.6971510366315633	0.714827538421747	0.9690449750138812	0.8627937479888083	1.088380816143599	91/133
2023	OTG through 2013	II	53	91	2684	7204	0.5824175824175825	0.47977166187867154	0.6783870187923923	0.3725707940033315	0.3614767526131542	0.3838006635884509	1.5632400386498748	1.3102603290632502	1.8650640366904496	53/91
2023	OTG through 2013	III	41	53	1775	2684	0.7735849056603774	0.6447372974853897	0.86545368989725735	0.6613263785394933	0.6432029028607009	0.678988719401113	1.169747541854903	1.0086811576957053	1.3565330344838007	41/53
2023	OTG through 2013	I-Launch	41	133	1775	10201	0.30827067669172936	0.22958170304366168	0.38695965033979707	0.1739684406547094	0.1666123580478992	0.1813245232615196	1.7716446044689187	1.3686724238058774	2.293262105636612	41/133
2023	OTG all time	Preclinical	404	681	9932	18718	0.593245227606461	0.555927901806412	0.6295164785888631	0.5306122448979592	0.5234572403702953	0.5377546870205367	1.1180390827967919	1.049110856664205	1.191496001324091	404/681
2023	OTG all time	I	307	404	6988	9932	0.7599009900990099	0.7159258439917231	0.7989801212017901	0.7035843737414418	0.6945257711581925	0.7124855541291969	1.0800424490073508	1.020937938464547	1.1425686593762563	307/404
2023	OTG all time	II	170	307	2567	6988	0.5537459283387622	0.4978159354269445	0.6083475091959163	0.36734401831711505	0.3561168191727425	0.3787169852092133	1.5074314558750568	1.3571408212625	1.6743653706088564	170/307
2023	OTG all time	III	127	170	1689	2567	0.7470588235294118	0.6767504808825887	0.8064484094732521	0.6579664978574211	0.639391162888248	0.6760697525320382	1.1354055654233275	1.035807542431525	1.244580431387898	127/170
2023	OTG all time	I-Launch	127	403	1689	9931	0.31435643564356436	0.26904861503748023	0.3596642562496485	0.17005638340716875	0.16266746332236579	0.1774453034919717	1.8529427752483958	1.5942950680557288	2.1535517465611402	127/403
