drug_data	genetic_data	phase	x_yes	n_yes	x_no	n_no	mean_yes	l_yes	u_yes	mean_no	l_no	u_no	rs_mean	rs_l	rs_u	fraction
2013	2013	Preclinical	179	200	6840	8424	0.895	0.8448196800887695	0.9302925120731899	0.811965811965812	0.8034802697197929	0.820166962573477	1.1022631578947368	1.0500063629981957	1.1571206728526897	179/200
2013	2013	I	159	179	5088	6840	0.888268156424581	0.8337241037909872	0.9264973519802236	0.743859649122807	0.7333803862922732	0.754065154355135	1.1941340782122905	1.1316040734593469	1.260119356400624	159/179
2013	2013	II	89	159	2379	5088	0.559748427672956	0.4820807267303315	0.6345971766586392	0.4675707547169811	0.45389063296206233	0.4812998079287602	1.1971416561580497	1.0397745324028114	1.3783258776275091	89/159
2013	2013	III	65	89	1767	2379	0.7303370786516854	0.6300335779919279	0.8115794742026075	0.742749054224464	0.7248024207928192	0.7599129998342953	0.983289139848534	0.864771918967178	1.118049177289216	65/89
2013	2013	I-Launch	65	179	1767	6840	0.36312849162011174	0.29258229356679977	0.4336746896734237	0.2583333333333333	0.24795945570478922	0.2687072109618774	1.4056586772391422	1.1530229355070496	1.713648754115017	65/179
2013	2023	Preclinical	345	403	6674	8221	0.8560794044665012	0.8184441161508772	0.8869903811885115	0.8118233791509549	0.8032295735494918	0.8201259069992028	1.054514351830852	1.0117872095228129	1.0990458346885927	345/403
2013	2023	I	293	345	4954	6674	0.8492753623188406	0.8076877730385161	0.8831704776256486	0.7422834881630207	0.7316529322606696	0.7526352946974955	1.1441388308671663	1.0919936686550873	1.198774042261923	293/345
2013	2023	II	189	293	2279	4954	0.6450511945392492	0.5887082763616303	0.697639864958292	0.46003229713362936	0.44618992896090093	0.4739366012460179	1.4021867563613166	1.2813274806735693	1.5344459003419755	189/293
2013	2023	III	142	189	1690	2279	0.7513227513227513	0.6851043192031679	0.807528336559574	0.741553312856516	0.7231838697447922	0.7591098067371356	1.0131742900973668	0.9301230370436341	1.1036412401708386	142/189
2013	2023	I-Launch	142	345	1690	6674	0.41159420289855075	0.35963269452183533	0.4635557112752662	0.25322145639796223	0.24278798264275378	0.26365493015317065	1.6254317811508447	1.42340335625767	1.8561347797587582	142/345
2023	2013	Preclinical	272	430	9379	18353	0.6325581395348837	0.5860035725216097	0.676765228574267	0.511033618481992	0.5038000596191172	0.5182625594272217	1.2378014217809703	1.1501846321599107	1.332092532731715	272/430
2023	2013	I	211	272	6338	9379	0.7757352941176471	0.7225241732940985	0.8212664542689063	0.6757650069303763	0.6662214926709118	0.6851646001741858	1.1479364663189353	1.075244698885624	1.2255425505194488	211/272
2023	2013	II	95	211	1802	6338	0.45023696682464454	0.38459388614467765	0.5176596169022993	0.28431681918586305	0.27334467483331665	0.29555025611811003	1.5835748588982226	1.357377678810186	1.8474661642680519	95/211
2023	2013	III	61	95	881	1802	0.6421052631578947	0.5419151425091454	0.7312495833270044	0.48890122086570476	0.4658694927337058	0.5119801685393706	1.313364000238963	1.1221166707077892	1.5372064618161965	61/95
2023	2013	I-Launch	61	272	881	9377	0.22426470588235295	0.17460646575783983	0.27392294600686606	0.09393325514447168	0.0880282700820901	0.09983824020685325	2.386980870668358	1.8969391534805604	3.0036164662859135	61/272
2023	2023	Preclinical	518	952	9133	17831	0.5441176470588235	0.5123659634434388	0.5755147193045539	0.5121978576636196	0.5048593165034664	0.5195311442137979	1.0623192559625403	1.0005716578237154	1.127877441625108	518/952
2023	2023	I	396	518	6153	9133	0.7644787644787645	0.726073521424069	0.7989901648135302	0.67371071936932	0.6640237605270258	0.6832516096652401	1.1347285155183742	1.0795123004272358	1.1927689970933537	396/518
2023	2023	II	182	396	1715	6153	0.4595959595959596	0.4111340588176343	0.5088342203738686	0.2787258248009101	0.2676632952350993	0.29006447504898825	1.648917748917749	1.47109321486262	1.848237565931461	182/396
2023	2023	III	116	182	826	1715	0.6373626373626373	0.5653445528089827	0.7037019792043159	0.4816326530612245	0.45805219463441305	0.5052952102837668	1.3233376792698825	1.1735981144785514	1.4921825382733296	116/182
2023	2023	I-Launch	116	517	826	9132	0.22393822393822393	0.18800350931521653	0.25987293856123134	0.09044125698018175	0.08455820026903615	0.09632431369132735	2.480580364460639	2.086589340445962	2.948965004888096	116/517
2023	OTG through 2013	Preclinical	123	203	9528	18580	0.6059113300492611	0.5373219605392886	0.6705667298865301	0.5128094725511303	0.5056204838636905	0.51999316555614306	1.1815525306796044	1.0565473883159266	1.3213476254771912	123/203
2023	OTG through 2013	I	80	123	6469	9528	0.6504065040650406	0.562742970010261	0.7289597614468409	0.6789462636439967	0.6695011353435227	0.6882471564982822	0.9579646267942041	0.8409339071895446	1.09128222603838	80/123
2023	OTG through 2013	II	39	80	1858	6469	0.4875	0.3810787954038108	0.5950666578345775	0.2872159530066471	0.2763189157921826	0.29836555353798744	1.6973291173304628	1.351372597722454	2.1318518204329426	39/80
2023	OTG through 2013	III	26	39	916	1858	0.6666666666666666	0.50977394399346	0.7936704381040163	0.4930032292787944	0.4703083360656651	0.5157269947747661	1.3522561863173215	1.0780053179427111	1.6962780823040842	26/39
2023	OTG through 2013	I-Launch	26	123	916	9526	0.2113821138211382	0.13889226356467774	0.2838719640775986	0.09613769941225862	0.09021796568145943	0.10205743314305782	2.198281677139916	1.5539844746684217	3.1097108181085233	26/123
2023	OTG all time	Preclinical	365	653	9286	18130	0.55895865237366	0.52064168746581	0.5965859920083928	0.5121897407611693	0.5049119722857718	0.51946234470623	1.0913116915285868	1.0179437726920493	1.1699675758292376	365/653
2023	OTG all time	I	264	365	6285	9286	0.7232876712328767	0.6752469413892913	0.7666773491206854	0.6768253284514323	0.6672414816842491	0.6862629365081461	1.0686474646091477	1.0014027539150894	1.1404076922604434	264/365
2023	OTG all time	II	120	264	1777	6285	0.45454545454545453	0.39556212117238154	0.5148326321056509	0.28273667462211616	0.27173864749806886	0.2940001268242645	1.6076635800890162	1.400597448394324	1.845342635535753	120/264
2023	OTG all time	III	76	120	866	1777	0.6333333333333333	0.5442242408550699	0.7141706480999425	0.48733821046707937	0.46415064184561516	0.5105804046621409	1.299576597382602	1.1250085461753212	1.5012324468167582	76/120
2023	OTG all time	I-Launch	76	364	866	9285	0.20821917808219176	0.16650095770232323	0.24993739846206028	0.093258668964031885	0.08734332189388745	0.09917401603417632	2.238598583864173	1.814943698928098	2.7611454959392727	76/364
