share	mean	l95	u95	numerator	denominator	gensup_all	gensup_launched
0.1	2.016947751619847	1.7044633482054288	2.386720862638376	125	617	617	125
0.15000000000000002	2.076305473091269	1.7515081883094932	2.461332722486246	121	580	580	121
0.2	2.1149366740088102	1.782587135051811	2.509250205565655	119	560	560	119
0.25	2.16028845531612	1.820450768534332	2.5635662830527655	118	544	544	118
0.30000000000000004	2.192953279621034	1.843924997462442	2.608047557909742	114	517	517	114
0.35	2.2652272424363584	1.9035109849592997	2.695678932467807	112	492	492	112
0.4	2.271951826782981	1.9041466889088132	2.7108022366598843	108	472	472	108
0.45000000000000007	2.3449423815620998	1.9611248033472133	2.8038780415509277	104	440	440	104
0.5	2.357065803667745	1.965557764866031	2.8265560555522744	100	420	420	100
0.55	2.4956402737047894	2.079145779516457	2.9955669472997712	97	385	385	97
0.6	2.4671960267337054	2.036769248371297	2.9885841212489335	87	347	347	87
0.65	2.4846495194295164	2.0434049071089624	3.021174713305185	83	328	328	83
0.7000000000000001	2.4456646660707446	1.9848872555365693	3.013408263962088	72	287	287	72
0.75	2.557246560065668	2.061277312168472	3.1725522472704566	66	251	251	66
0.8	2.5063305035128804	1.9648285350560903	3.1970690982762036	51	196	196	51
0.85	2.364287236935924	1.7561851900586185	3.182952555562506	34	137	137	34
0.9	2.576178034057122	1.7298633729250035	3.8365418720534676	18	66	66	18
